name,gender,ethnicity,city,state,province,country,born,died,creative_role 1,creative_role 2,creative_role 3,creative_role 4,creative_role 5,creative_role 6,creative_role 7,creative_role 8,creative_role 9,creative_role 10,comic_titles 1,comic_titles 2,comic_titles 3,comic_titles 4,comic_titles 5,comic_titles 6,comic_titles 7,comic_titles 8,comic_titles 9,comic_titles 10,comic_titles 11,comic_titles 12,comic_titles 13,comic_titles 14,genres 1,genres 2,genres 3,genres 4,genres 5,genres 6,genres 7,genres 8,website1,website2,twitter,image
Alan White,Male,African American,New York, NY,,United States,1964,,Writer, Artist,,,,,,,,,The Power Principle,,,,,,,,,,,,,,Superhero,,,,,,,,https://www.facebook.com/ThePowerPrinciple,http://thepowerprinciple.co/,https://twitter.com/NewMutant,https://pbs.twimg.com/profile_images/2548093045/s0e2z8m1v304cphb1c1s.jpeg
Albert DeGuzman,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Temple,Male,African American,,,,,,,Creator, Cartoonist,,,,,,,,,Gene Catlow,,,,,,,,,,,,,,Webcomic,,,,,,,,http://genecatlow.keenspot.com/,http://www.genecatlow.net/,,
Alberto Breccia,Male,Latin American,,,,,,,Illustrator,,,,,,,,,,"Alvar Mayor: Death and Silver, Lovecraft",,,,,,,,,,,,,,,,,,,,,,,,,
Alberto Brí_ccoli,Male,Latin American,,,,,,,,,,,,,,,,,"Las Historietas, El Humor Escrito",,,,,,,,,,,,,,,,,,,,,,,,,
Alberto Saichann,Male,Latin American,,,,,,,Artist,,,,,,,,,,Stan Lee Presents the Punisher Invades the äóÖNam: Final Invasion,,,,,,,,,,,,,,,,,,,,,,,,,
Alden Franklin,Male,Half Asian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indie,,,,,,,,http://optimalkiwismoothiecomics.tumblr.com/,,https://twitter.com/optkiwismoothie,
Aldin Baroza (A.L. Baroza),,Asian American,,,,,,,Artist,,,,,,,,,,Hearts of Africa: Volume 2: Trials,,,,,,,,,,,,,,Indie,,,,,,,,http://albaroza.com/,,https://twitter.com/ALBaroza,
Alex DeLourdes Araiza,Transman,Latin American,,,,,1989,,Writer, Artist, Cartoonist,,,,,,,,,,,,,,,,,,,,,,Indie and Horror,,,,,,,,http://alex-d-araiza-art.tumblr.com/,http://alex-d-araiza-writer.tumblr.com/,https://twitter.com/alex_d_araiza,https://pbs.twimg.com/profile_images/462330616193617921/v6hPewus.jpeg
Alex Gard,,Asian American,,,,,,,,,,,,,,,,,Ballet Laughs, Getting Salty, Sailors in Boots, Stars off Gard,,,,,,,,,,,Strips,,,,,,,,,,,
Alex Jay,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Nií±o,Male,Asian American,,,,,,,Artist,,,,,,,,,,Heavy Metal, Space Clusters, The War of the Worlds, The Time Machine,,,,,,,,,,,,,,,,,,,http://www.alexnino.net/,,,
Alexander Simmons,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mainstream,,,,,,,,http://www.simmonshereandnow.com/,http://www.blackjackadventures.com/,,
