name,gender,ethnicity,city,state,province,country,born,died,creative_role 1,creative_role 2,creative_role 3,creative_role 4,creative_role 5,creative_role 6,creative_role 7,comic_titles 1,comic_titles 2,comic_titles 3,comic_titles 4,comic_titles 5,comic_titles 6,comic_titles 7,comic_titles 8,comic_titles 9,comic_titles 10,comic_titles 11,comic_titles 12,genres 1,genres 2,genres 3,genres 4,genres 5,genres 6,genres 7,genres 8,website1,website2,twitter,image,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
Letty Wilson,Female,Scottish/British,Glasgow,,,Scotland,1991,,writer, artist,,,,,,Cosmic (artist) , the Stoorworm (artist) , Weird Moose (artist writer) , Meteor (artist writer),,,,,,,,,indie, sci-fi, fantasy, superhero,,,,,http://lettydraws.tumblr.com/,http://www.panelspublishing.com/,https://twitter.com/patchworkperson,https://m2.behance.net/rendition/pm/18918125/hd/5ddea8acd6a188d9170a2fed07157a59.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Lonnie Mann,Male,"White, Jewish",Seattle, WA,,United States,1986,,Cartoonist,,,,,,,Thoughts From Iceland, Lonnie Comics,,,,,,,,,,,Autobio, webcomic, travelogue,,,,,,http://www.LonnieComics.com,https://www.facebook.com/LonnieComics,https://twitter.com/LonnieComics,https://pbs.twimg.com/profile_images/463477483916886016/7osbW5ej_400x400.jpeg,,,,,,,,,,,,,,,,,,,,,,,,
Lucy Knisley,Female,US,Chicago,IL,,United States,1985,,author/illustrator,,,,,,,"Relish, French Milk, An Age of License, Displacement",,,,,,,,,,,,autobio,,,,,,,,http://lucyknisley.com,,http://www.twitter.com/lucyknisley,,,,,,,,,,,,,,,,,,,,,,,,,
Maïmouna Younglai-Case,Female,Canadian Chinese-Black,,,,,1993,,,,,,,,,,,,,,,,,,,,,Indie,,,,,,,,http://www.myounglaicase.com/graphic-novels-shorts-comics,http://www.theduckwebcomics.com/Salt_and_Pepper/,https://twitter.com/MYounglaiCase,,,,,,,,,,,,,,,,,,,,,,,,,
Mara Sternberg (Steeltoedblues),Female,Canadian,,,,,1984,,Artist, writer, creator,,,,,,,,,,,,,,,,,Indie, comic poetry, strips,,,,,,http://www.steeltoedblues.com,http://steeltoedblues.tumblr.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Margaret Trauth (Egypt Urnash),Female,American/White,,,,,1971,,Cartoonist,,,,,,,"Decrypting Rita, Five Glasses of Absinthe",,,,,,,,,,,,SF, slipstream, fantasy, erotica,,,,,http://egypt.urnash.com,,http://www.twitter.com/egypturnash,,,,,,,,,,,,,,,,,,,,,,,,,
Margreet De Heer,,,,,,,,,,,,,,,,Anything That Loves (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marguerite Van Cook,Female,,New York, NY,,United States,,,Artist,,,,,,,No Straight Lines (contributor), The Late Child and Other Animals,,,,,,,,,,,,,,,,,,,http://margueritevancook.com/,,https://twitter.com/mvancook,,,,,,,,,,,,,,,,,,,,,,,,,
Mariah-Rose Marie M.,Female,"African American, Native American, White",,,,,1995,,Writer, Artist, Creator, Cartoonist,,,,,,,,,,,,,,,,Indie,,,,,,,,http://biophonies.tumblr.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marian Irene Runk,Female,Texan/American,,,,,1980,,Cartoonist, Writer, Artist,,,,,"The Magic Hedge, Not a Horse Girl, The Fish and the Monkey, Best Friends, QU33R (contributor)",,,,,,,,,,,,Indie, Memoir,,,,,,,http://marianrunk.com,,https://twitter.com/msrunk,,,,,,,,,,,,,,,,,,,,,,,,,
Mariko Tamaki,Female,Japanese American,,,,,,,Writer,,,,,,,This One Summer, Skim, Emiko Superstar,,,,,,,,,,Indie,,,,,,,,http://marikotamaki.blogspot.com/,,https://twitter.com/marikotamaki,,,,,,,,,,,,,,,,,,,,,,,,,
MariNaomi,Female,"Half-Japanese American, Mixed",Los Angeles, CA,,United States,1973,,Writer, Artist,,,,,,Estrus Comics (1998-2009)," Kiss & Tell: A Romantic Resume, Ages 0 to 22 (Harper Perennial, 2011)"," The  Dragon's Breath and Other True Stories (2D Cloud/Uncivilized Books, 2014), Turning Japanese (2D Cloud, 2016)",,,,,,,,,,Indie, Autobiographical,,,,,,,http://marinaomi.com,https://www.facebook.com/marinaomiart,https://twitter.com/marinaomi,http://marinaomi.com/images/carnivore-sm.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Marissa Mercedes Luna,genderfluid,Mexican American/ White,,,,,1990,,Creator, artist, writer,,,,,Land of the Dead, Blue-ish Colors, Lovely Grim,,,,,,,,,,Indie,,,,,,,,http://cargocollective.com/MarissaLunaComix,http://lunadraws.tumblr.com/,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Wings,Female,,,,,,,,Cartoonist,,,,,,,Come Out Comix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mat Defiler,,,,,,,,,,,,,,,,Gay Genius (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maurice Vellekoop,Male,Canadian,,,,,1964,,,,,,,,,No Straight Lines (contributor), A Nut at the Opera, Vellevision, Sex Tips from a Dominatrix (illustrator), Maurice Vellekoop's Pin-ups (illustrations), Maurice Vellekoop's ABC Book: A Homoerotic Primer, Anything That Loves (contributor), Little Heart (contributor), A Men's Room Reader,,,,,,,,,,,,http://www.mauricevellekoop.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meags Fitzgerald,Female,Canadian,,,,,1987,,Writer, Artist, Creator,,,,,Photobooth: A Biography, Long Red Hair,,,,,,,,,,,Graphic Memoir,,,,,,,,http://www.meagsfitzgerald.com/longredhair/,http://www.meagsfitzgerald.com/,https://twitter.com/MeagsFitzgerald,,,,,,,,,,,,,,,,,,,,,,,,,
Megan Rose Gedris,Female,American,,,,,1986,,Cartoonist, writer, artist, creator,,,,YU+ME: dream, I Was Kidnapped By Lesbian Pirates From Outer Space!!!, Meaty Yogurt, Comic Stripper, Darlin' It's Betta Down Where It's Wetta, Eat Me, The Lady Eudora Henley,,,,,,indie, webcomic, fantasy, sci-fi, humor, erotica,,,http://rosalarian.com,http://rosalarian.tumblr.com,https://twitter.com/rosalarian,,,,,,,,,,,,,,,,,,,,,,,,,
Melaina,Female,,,,,,,,Cartoonist,,,,,,,Anything That Loves (contributor), Dater's Dozen, Bewildered Bisexual, Celibacy #1 and #2," Death, Dating and Other Disasters",,,,,,,,Indie,,,,,,,,http://blog.melainacomics.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melanie Gillman,Genderqueer,American,,,,,1988,,Cartoonist,,,,,,,As the Crow Flies, Smbitten,,,,,,,,,,,Webcomic,,,,,,,,Http://melaniegillman.com,Http://Pigeonbits.tumblr.com,Http://twitter.com/melgillman,,,,,,,,,,,,,,,,,,,,,,,,,
Merriam Hayden,Female,White American,Kansas City Area,,,United States,1991,,writer/artist,,,,,,,Desert Grey,,,,,,,,,,,,webcomic, action/adventure, romance,,,,,,http://starkillerarts.tumblr.com/tagged/stuff-i-make,http://desertgrey.webcomic.ws/comics/first/,https://twitter.com/inthedesertwith,http://40.media.tumblr.com/76279e92945b4794753f522b5cd62ab7/tumblr_nnzu8o7WlE1rhyjbfo1_1280.png,,,,,,,,,,,,,,,,,,,,,,,,
Mia Rose Elbo,Female,Chilean,,,,,1990,,Cartoonist, Writer, Artist, Creator,,,,Becoming Me,,,,,,,,,,,,Webcomic,,,,,,,,http://bmcomic.tumblr.com/,https://www.facebook.com/bmcomic,https://twitter.com/MiaRoseElbo,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Fahy,Male,Irish American,,,,,1967,,Cartoonist,,,,,,,Contributor: Boy Trouble, Juicy Mother, Three, No Straight Lines, QU33R,,,,,,,,Indie,,,,,,,,http://unclegrumpy.tumblr.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michel Arthur,Male,American,,,,,1987,,Cartoonist,,,,,,,Go Ye Dogs!, OUTTHERE//INHERE,,,,,,,,,,,webcomic, adventure, romance,,,,,,http://goyedogs.com,http://goatandmouse.tumblr.com,https://twitter.com/funnyanimalbook,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle Gruben,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Funk,Male,White American,Brooklyn, NY,,United States,1990,,Writer, Artist,,,,,,Eat Pray Spit in my Mouth, Birdbrain, Stonewall 1969, Loud and Queer,,,,,,,,,Indie,,,,,,,,https://michaeljfunk.wordpress.com/,,https://twitter.com/othermiike,https://farm8.staticflickr.com/7476/15584799868_9bc9c71ab5_o.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Mildred Louis,Female,Haitian American,,,,,1987,,Creator,,,,,,,Agents of the Realm, Bound Blades,,,,,,,,,,,Webcomic, Urban Fantasy, Fantasy,,,,,,http://artofmlouis.com/,http://adventuresinconcepting.tumblr.com/,https://twitter.com/Froregade,,,,,,,,,,,,,,,,,,,,,,,,,
Mira Ongchua,Female,,,,,,,,Writer, Artist, Cartoonist,,,,,,,,,,,,,,,,,,,,,,,,,http://miraongchua.tumblr.com,,http://twitter.com/miraongchua,,,,,,,,,,,,,,,,,,,,,,,,,
ML Snook,Female,American Caucasian,Santa Barbara, CA,,United States,1982,,Writer, Creator,,,,,,Opportunities,,,,,,,,,,,,Webcomic, sci-fi,,,,,,,http://www.opportunitiesinspace.com,,https://twitter.com/s_incerely,http://opportunitiesinspace.com/wp-content/uploads/2015/08/Opps-ch6-pg40crop.gif,,,,,,,,,,,,,,,,,,,,,,,,
Mysh,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natasha L. Barredo,Female,Asian,,,,,1990,,Visual Development Artist, Cartoonist,,,,,,N/A,,,,,,,,,,,,Indie,,,,,,,,http://natashalb.tumblr.com,,http://twitter.com/KUHNUCKLES,,,,,,,,,,,,,,,,,,,,,,,,,
Nero O'Reilly,Male,Half-Panamanian,,,,,1993,,Creator, Cartoonist,,,,,,"Golden Trick!, Carnivore Planet",,,,,,,,,,,,Indie, Webcomic, Adult,,,,,,http://www.trumpetshark.com,http://trumpetsharkcomics.tumblr.com,https://twitter.com/trumpetshark,,,,,,,,,,,,,,,,,,,,,,,,,
Nia King,Female,Mixed,,,,,1987,,Cartoonist,,,,,,,We Are Not White Lesbians (zine),,,,,,,,,,,,Indie,,,,,,,,http://Comicsbynia.tumblr.com,http://www.Artactivistnia.com,Http://www.twitter.com/artactivistnia,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Almand,Male,,,,,,,2013,Writer,,,,,,,Razor Kid, Orphan Blade,,,,,,,,,,,Comic, Superhero, Manga, Mainstream,,,,,http://www.sonsofnowhere.com/,http://nickalmand.deviantart.com/,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Leonard,,,,,,,,,,,,,,,,Anything That Loves (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Sumida,Male,,,,,,,,,,,,,,,Snackies,,,,,,,,,,,,Indie,,,,,,,,http://nicksumida.com/,,https://twitter.com/nsumida,,,,,,,,,,,,,,,,,,,,,,,,,
Nicole J. Georges,Female,,,,,,,,Cartoonist,,,,,,,Calling Dr. Laura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niki Smith,Female,White American,,,,,1986,,Creator, Artist,,,,,,In Maps & Legends, Friends, Your Hair, No Questions, Farmgirl (in Smut Peddler 2014), Crossplay, Islet (Beyond Anthology), Rings on Her Fingers,,,,,Indie, Webcomic, Erotica,,,,,,http://niki-smith.com,http://niki-smith.tumblr.com,https://twitter.com/niki_smith,,,,,,,,,,,,,,,,,,,,,,,,,
Noel Arthur Heimpel,Genderfluid/nonbinary,American,,,,,1990,,,,,,,,,Ignition Zero,,,,,,,,,,,,Webcomics,,,,,,,,http://ignitionzero.com,http://www.noelheimpel.com,http://twitter.com/noelarthurian,,,,,,,,,,,,,,,,,,,,,,,,,
Noel Franklin,Female,Native American / Mixed Ethnicity,,,,,1971,,Cartoonist,,,,,,,Gone Girl Comics,,,,,,,,,,,,Indie, Autobio, Comics Journalism,,,,,,http://www.noelfranklin.com,http://inktart.org/tag/noel-franklin/,https://twitter.com/gonegirlcomics/,,,,,,,,,,,,,,,,,,,,,,,,,
Olivia Stephens (Olive),Female,African American/ Mixed,"Providence,  RI/Seattle, WA",,,,1995,,Creator, Cartoonist,,,,,,Alone, Nuclear,,,,,,,,,,,Indie, Webcomic,,,,,,,http://tapastic.com/series/Alone-,http://proclioevilo.tumblr.com/,https://twitter.com/OliveOilCorp,https://pbs.twimg.com/media/CItrvhbUAAANw75.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Paige Braddock,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pam Cameron-Snyder,,,,,,,,,,,,,,,,Gay Genius (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pam Harrison,Female,American,,,,,1964,,Creator,,,,,,,"A Deviant Mind, House of the Muses",,,,,,,,,,,,Science Fiction, Historical Fiction, Webcomic, Graphic Novel,,,,,http://adeviantmind.com,https://www.facebook.com/adeviantmind,https://twitter.com/houseofmuses,,,,,,,,,,,,,,,,,,,,,,,,,
Penina Gal,Genderqueer,,,,,,1983,,Cartoonist,,,,,,,"The Fire Messenger, Limp Wrist, Glamera",,,,,,,,,,,,Indie,,,,,,,,http://penina.net,http://storenvy.com/penina,http://twitter.com/peninacomix,,,,,,,,,,,,,,,,,,,,,,,,,
PK,agender,American,Las Vegas,NV,,United States,1990,,Writer/Artist,,,,,,,Floraverse,,,,,,,,,,,,Webcomic,,,,,,,,http://floraverse.com,,http://www.twitter.com/papayakitty,,,,,,,,,,,,,,,,,,,,,,,,,
Powflip,,,,,,,,,,,,,,,,Anything That Loves (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priya Huq (batsa),Female,Bangladeshi American,New York City, NY,,United States,1988,,Artist, Writer,,,,,,"Dirty Diamonds Anthology 6: Beauty, Mana",,,,,,,,,,,,Fantasy, Supernatural, Horror, Manga, Action, Romance, Fairy Tale, Indie,http://batsabatsabatsa.com,http://b-u-l-a-n-o.tumblr.com,http://twitter.com/batsabatsabatsa,,,,,,,,,,,,,,,,,,,,,,,,,
Pussybear,Genderqueer,German,,,,,1986,,Cartoonist,,,,,,,Comics about the life of a fat queer feminist trans* poly nerd.,,,,,,,,,,,,Webcomic,,,,,,,,http://pussybear.net,,http://twitter.com/pussybear_comix,,,,,,,,,,,,,,,,,,,,,,,,,
Rachel Dukes,Genderqueer,American,Los Angeles, CA,,United States,1985,,Cartoonist,,,,,,,Garfield, Steven Universe, Frankie Comics,,,,,,,,,,Mainstream, Indie, Strips, Webcomic,,,,,http://www.mixtapecomics.com,http://www.frankiecomics.com,http://www.twitter.com/mixtapecomics,http://www.mixtapecomics.com/wp-content/uploads/2014/01/mc-header.png,,,,,,,,,,,,,,,,,,,,,,,,
Randall Kirby,,,,,,,,,,,,,,,,Anything That Loves (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebecca Mir Grady,Female,American,,,,,1982,,Artist, Writer,,,,,,SHIPWRECK, I was born to be an Explorer, Apostrophe to the Ocean, In Search of Cold Places, SHE IS RESTLESS,,,,,,,,,,,,,,,,http://www.sheisrestless.com,,https://twitter.com/mirgrady,,,,,,,,,,,,,,,,,,,,,,,,,
Reed Black,Male,White American,,,,,1983,,Creator,,,,,,,Duo, Speck, The Beyond Anthology (contributor), What a Queer Family,,,,,,,,,indie, self published, fantasy,,,,,,http://queerfamilycomic.tumblr.com,http://reedicule.tumblr.com,http://twitter.com/reedicule,,,,,,,,,,,,,,,,,,,,,,,,,
Rica Takashima,Female,Japanese,,,,,1965,,Manga artist,,,,,,,Tokyo Love, Rica 'tte Kanji, Susume NY-dou,,,,,,,,,,Manga, Strips,,,,,,,http://www.AozoraArt.com,http://en.wikipedia.org/wiki/Rica_Takashima,https://twitter.com/RicaTakashima,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Worley,Male,American,,,,,1982,,Writer, Artist, Cartoonist,,,,,A Waste of Time,,,,,,,,,,,,Indie,,,,,,,,http://rickworley.com,https://www.tumblr.com/blog/awasteoftimecomic,http://twitter.com/bloodoftheland,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Kirby,Male,Caucasian,,,,,,,Cartoonist, Editor,,,,,,Boy Trouble (editor), The Book of Boy Trouble (editor), The Book of Boy Trouble Volume 2 (editor), Curbside, Curbside Boys, QU33R (editor),,,,,,,Indie, strips, slice of life, humor, autobio,,,,http://robkirbycomics.com,http://robkirbycomics.tumblr.com/,https://twitter.com/robkirbycomics,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Triptow,Male,,,,,,,,Cartoonist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberta Gregory,Female,Latin American,,,,,1953,,Writer, Artist,,,,,,Naughty Bits (Fantagraphics), Winging It, Artistic Licentiousness, Sheila and the Unicorn,,,,,,,,,Underground,,,,,,,,http://www.robertagregory.com/,http://en.wikipedia.org/wiki/Roberta_Gregory,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Zanni,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roxxie,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ru Xu,Female,Asian American,,,,,1991,,Writer, Artist, Creator,,,,,"Saint for Rent, NewsPrints",,,,,,,,,,,,Webcomic, Children's, Manga, Comics, Sci Fi, Fantasy,,,http://ruemxu.com,http://emruki.tumblr.com,http://twitter.com/saintfortweets,,,,,,,,,,,,,,,,,,,,,,,,,
Rupert Kinnard,Male,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,http://www.pdxqcenter.org/queer-heroes-nw-june-11th-2013-featured-hero-rupert-kinnard/,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.D. Steen,Male,"Biracial: black, white (Jewish)",Beijing,,,China,1988,,Writer,,,,,,,,,,,,,,,,,,,Horror, Fantasy,,,,,,,http://www.penciljack.com/forum/entry.php?307-Comics-Scripts,,https://twitter.com/1tudore,,,,,,,,,,,,,,,,,,,,,,,,,
Sab Meynert,Genderqueer,Sri-lankan,,,,,1989,,Artist, Cartoonist,,,,,,"Blacktooth 1 (Sever Press, 2013)"," Blacktooth 2 (Sever Press, 2014)",,,,,,,,,,,Indie,,,,,,,,http://www.sabmeynert.com,http://www.sabo-art.tumblr.com,http://twitter.com/sabmeynert,,,,,,,,,,,,,,,,,,,,,,,,,
Sailor Holladay,Genderqueer,US,Portland, OR,,United States,1980,,Artist, Creator,,,,,,Gay Genius (contributor),,,,,,,,,,,,Indie, Creative Nonfiction,,,,,,,http://www.sailorholladay.com/,,,http://1.bp.blogspot.com/-X4LX3IEROHQ/UbDVubxg7BI/AAAAAAAAArE/KLgJpp5jHQA/s320/pies+.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Sally Cantirino,Female,American,Gainesville, FL,,United States,1990,,cartoonist, letterer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Orchard,Male,New Zealander,,,,,,,Cartoonist,,,,,,,Rooster Tails, Anything That Loves (contributor),,,,,,,,,,,Autobio,,,,,,,,http://samorchard.tumblr.com/,http://www.roostertailscomic.com/,https://twitter.com/Sam_Orchard,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Saturday,Male,American,Los Angeles, CA,,United States,1980,,Cartoonist,,,,,,,Death's Door, Anything That Loves, Why Do You Cry When I'm On Top?,,,,,,,,,,Humor, Horror, Indie,,,,,,http://www.samsaturday.com/,http://facebook.com/thisissamsaturday,http://twitter.com/sam_saturday,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah Leavitt,Female,"Jewish, Canadian",Vancouver,,British Columbia, Canada,1969,,Cartoonist,,,,,,,"Tangles: A Story About Alzheimer's, My Mother and Me",,,,,,,,,,,,Memoir,,,,,,,,http://www.sarahleavitt.com/,,http://www.twitter.com/sarahbleavitt,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah Sass Biscarra-Dilley,,,,,,,,,,,,,,,,Gay Genius (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah Winifred Searle,Female,White American,Portland, ME,,United States,1987,,Writer, Artist, Cartoonist,,,,,"Ruined – Fresh Romance (co-creator, artist)", Chainmail Bikini (contributor), Filthy Figments (contributor), Smut Peddler 2014 (contributor),,,,,,,,,Indie, historical, erotica,,,,,,http://www.swinsea.com/,http://swinsea.tumblr.com/,https://twitter.com/swinsea,https://pbs.twimg.com/profile_images/585634952991080449/X8Mtijgv.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Sasha Steinberg,Male,American,,,,,1987,,Creator,,,,,,,Stonewall, Sasha Velour, The Disappearance of Pepper Stein, QU33R (Contributor),,,,,,,,,Indie,,,,,,,,http://www.ahsasha.com/,http://sahsashas.tumblr.com/,https://twitter.com/sahsashas,,,,,,,,,,,,,,,,,,,,,,,,,
Sasha Velour,Drag Queen,Quorzen,,,,,,,Creator, Editor,,,,,,Vym Magazine,,,,,,,,,,,,,,,,,,,,http://www.vymmagazine.com/,https://www.facebook.com/sashavelour1,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturday,Intersex,British,,,,,1992,,Artist, Curator,,,,,,puppycomix,,,,,,,,,,,,erotica,,,,,,,,http://www.puppycomix.com,http://www.patreon.com/PUPPY,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Foss,Male,American,,,,,1992,,Cartoonist,,,,,,,The Long Siesta, Boneheaded, Jane,,,,,,,,,,Webcomic,,,,,,,,http://www.scottfoss.com,http://www.scottfoss.tumblr.com,https://twitter.com/Buildabearatron,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Marshall,Male,Canadian,,,,,1968,,Cartoonist,,,,,,,Dregs, Time Wounds All Heels, various others,,,,,,,,,,Indie, Webcomics, Mini-comics,,,,,,http://potzrebie.com,http://themarshallway.tumblr.com,http://twitter.com/scottmarshall,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Seamus McWhinny,Male,Irish-Scottish American,San Francisco, CA,,United States,1968,,Cartoonist, Writer,,,,,,Bunny Man: My Life in the Easter Charade, Diary of a Catering Whore,,,,,,,,,,,Indie,,,,,,,,http://seanseamus.tumblr.com,http://prismcomics.org/profile.php?id=1352,https://twitter.com/seanseamus,https://pbs.twimg.com/media/CHHE1JFU0AAkvXq.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Sean-Z,Male,Mixed,Oak Park, CA,,United States,1975,,Writer, Artist, Creator,,,,,MYTH,,,,,,,,,,,,Webcomic, Print,,,,,,,http://rated-z.com,http://facebook.com/Sean-Z/,http://twitter.com/RatedZMYTH,,,,,,,,,,,,,,,,,,,,,,,,,
Sevita,Agender,Indo-Caribbean/African American,,OH,,United States,,,Creator,,,,,,,Four Corners,,,,,,,,,,,,Webcomic, Drama, Manga,,,,,,http://boniae.tumblr.com,,http://twitter.com/cooljalebis,,,,,,,,,,,,,,,,,,,,,,,,,
Sfé R. Monster,Genderqueer,Canadian,,,,,,,creator, artist, writer,,,,,Eth's Skin, Kyle & Atticus, Seven Stories from the Sea, the Beyond Anthology,,,,,,,,,indie, fantasy, webcomic,,,,,,http://sfemonster.tumblr.com/,http://www.sfemonster.com,https://twitter.com/sfemonster,,,,,,,,,,,,,,,,,,,,,,,,,
Shelby Criswell,Genderqueer,Greek American,,,,,1994,,Comic Artist,,,,,,,"Awkward Shelby, Gallivant, The Va-Giant",,,,,,,,,,,,Indie, Webcomic,,,,,,,http://iwishiwaspattismith.tumblr.com/,http://shelbycriswell.portfoliobox.me/,http://twitter.com/shelbycriswell,,,,,,,,,,,,,,,,,,,,,,,,,
Shing Yin Khor,Female,"Asian American (Chinese, Malaysian)",,,,,1983,,Cartoonist, Writer,,,,,,"Center for Otherworld Science, Marie and Jeanne, Marlowe the Monster, Blood Root",,,,,,,,,,,,Indie,,,,,,,,http://www.sawdustbear.com/portfolio/comics/,,http://twitter.com/sawdustbear,,,,,,,,,,,,,,,,,,,,,,,,,
Sidney Maris Hargrave,Genderfluid,American(white),Suffolk, VA,,United States,1990,,Artist, writer,,,,,,Heracles Knot, The Dragon's Eye, Students Against School Spirit, Raventown(being reworked),,,,,,,,,Webcomic,,,,,,,,http://miliabyntite.tumblr.com,http://comicfury.com/profile.php?username=Sid,https://twitter.com/sidhargrave,https://pbs.twimg.com/media/CMk2ieXUYAAOaCG.png,,,,,,,,,,,,,,,,,,,,,,,,
Silky Shoemaker,,,,,,,,,,,,,,,,Gay Genius (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sina Grace,Male,,,,,,,,Writer, Artist,,,,,,"Self-Obsessed (writer, artist)"," Not My Bag (writer, artist)", The Li'l Depressed Boy (artist)," Burn the Orphanage (co-writer, artist)",,,,,,,,,,,,,,,,,http://sinagrace.com/,,https://twitter.com/SinaGrace,,,,,,,,,,,,,,,,,,,,,,,,,
Sina Sparrow,Male,Iranian British,,,,,,,,,,,,,,Boy Crazy Boy,,,,,,,,,,,,Indie,,,,,,,,http://www.boycrazyboy.com/,,https://twitter.com/boycrazyboy,,,,,,,,,,,,,,,,,,,,,,,,,
Slim Gilt Soul,NB,British,,,,,1993,,Artists,,,,,,,Victim Pheromone, Tender Objects, Lovely Puppy, misc,,,,,,,,,Indie,,,,,,,,http://slimgiltsoul.com,http://slimgiltsoul.tumblr.com,http://twitter.com/slimgiltsoul,,,,,,,,,,,,,,,,,,,,,,,,,
Smar,Female,Greek,,,,Greece,1991,,Writer, Artist, Penciler, Inker, Creator, Cartoonist, Colorist,OMG Lesbians, Fruit Jacket,,,,,,,,,,,Zine, Webcomic, Indie, Slice of Life, Humor,,,,http://smarmakescomics.tumblr.com/,,https://twitter.com/SmarMakesComics,http://36.media.tumblr.com/3406cac6bfe6224ae197113fcc09a9fb/tumblr_nru5cfNSDv1rga5z2o1_500.jpg,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Cygnet Fletcher,non binary/agender,,Minneapolis, MN,,United States,1990,,Self-publisher, Artist, Writer,,,,,The Forest," Don't Corner Me, I am A Wild Animal"," Life's Rough, Huh, City Boy?", Goldy & the Bears,,,,,,,,,,,,,,,,,http://solomonfletcher.tumblr.com,http://patreon.com/solomonfletcher,https://twitter.com/satanandsolomon,https://40.media.tumblr.com/59b287d42ba9ad405475b07160007745/tumblr_nqf0r2TPSw1qj33awo1_1280.png,,,,,,,,,,,,,,,,,,,,,,,,
Sophia Foster-Dimino,Female,American (white),San Francisco, CA,,United States,1988,,Cartoonist,,,,,,,"Sex Fantasy, Swim Thru Fire",,,,,,,,,,,,Indie,,,,,,,,http://sophiafosterdimino.tumblr.com,,http://twitter.com/hellophia/,,,,,,,,,,,,,,,,,,,,,,,,,
