name,gender,ethnicity,city,state,province,country,born,died,creative_role 1,creative_role 2,creative_role 3,creative_role 4,creative_role 5,creative_role 6,creative_role 7,comic_titles 1,comic_titles 2,comic_titles 3,comic_titles 4,comic_titles 5,comic_titles 6,comic_titles 7,comic_titles 8,comic_titles 9,comic_titles 10,comic_titles 11,comic_titles 12,genres 1,genres 2,genres 3,genres 4,genres 5,genres 6,genres 7,genres 8,website1,website2,twitter,image,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
Jackie Davis,,,,,,,,,,,,,,,,Gay Genius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jade F. Lee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaime Cortez,,,,,,,,,,,,,,,,Sexile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Romberger,,,,,,,,,,,,,,,,No Straight Lines (contributor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Axelrod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasmine Schuett,Female,Canadian,Vancouver,British Columbia,,Canada,1990,,Cartoonist, Illustrator,,,,,,Space Club,,,,,,,,,,,,Webcomic,,,,,,,,http://www.spaceclubcomic.tumblr.com,http://www.nightmareofhair.tumblr.com,https://twitter.com/nightmareofhair,,,,,,,,,,,,,,,,,,,,,,,,,
Jason A. Quest,Male,Canadian-American,,,,,1975,,versatile,,,,,,,"JAQrabbit Tales, Everybody's Doin' It, Anything That Loves (contributor)",,,,,,,,,,,,porn, autobio,,,,,,,http://JAQrabbit.com,http://Tales.JAQrabbit.com,https://twitter.com/jasonaquest,,,,,,,,,,,,,,,,,,,,,,,,,
Jax Nguyen,Female,Vietnamese American,Los Angeles, CA,,United States,1992,,Creator,,,,,,,Not Quite There,,,,,,,,,,,,Webcomic,,,,,,,,http://nqtcomic.com/,http://veloursrose.tumblr.com/,https://twitter.com/VeloursRose,,,,,,,,,,,,,,,,,,,,,,,,,
Jay Fuller,,,,,,,,,,,,,,,,Boy in Pink Earmuffs,,,,,,,,,,,,,,,,,,,,http://www.boyinpinkearmuffs.com/,,https://twitter.com/DepthDeception,,,,,,,,,,,,,,,,,,,,,,,,,
Jayd Aït-Kaci (Chira),Female,Venezuelan-Berber,,,,,1987,,Creator, Artist,,,,,,Sfeer Theory Issue 1 (2012), Sfeer Theory Issue 2 (2013), That Which Wills (2013),,,,,,,,,,Webcomic, Fantasy, Indie,,,,,,http://sfeertheory.littlefoolery.com/,http://chirart.tumblr.com/,https://twitter.com/JaydAteCake,,,,,,,,,,,,,,,,,,,,,,,,,
